--------- beginning of main
07-30 07:32:18.449 D/SKK     (12649): SKKEngine: processKey: code=101 char='e' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:18.449 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:18.449 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:18.741 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:32:18.741 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:32:18.958 D/SKK     (12649): SKKEngine: processKey: code=75 char='K' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:18.959 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='k' kanjiKey=''
07-30 07:32:18.959 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKKanjiState kanji=true choose=false compose='k' kanjiKey=''
07-30 07:32:18.959 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='か'
07-30 07:32:18.959 D/SKK     (12649): FlickJP: cleanupState lastKey=-202 shiftBefore=true
07-30 07:32:19.260 D/SKK     (12649): SKKEngine: processKey: code=109 char='m' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='か'
07-30 07:32:19.260 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='m' kanjiKey='か'
07-30 07:32:19.260 D/SKK     (12649): SKKEngine: processKey: code=105 char='i' state=SKKKanjiState kanji=true choose=false compose='m' kanjiKey='か'
07-30 07:32:19.260 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='かみ'
07-30 07:32:19.260 D/SKK     (12649): FlickJP: cleanupState lastKey=-207 shiftBefore=false
07-30 07:32:19.558 D/SKK     (12649): SKKEngine: processKey: code=32 char=' ' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='かみ'
07-30 07:32:19.559 D/SKK     (12649): user dictionary: かみ -> null with null
07-30 07:32:19.575 D/SKK     (12649): SKKEngine: ->after state=SKKChooseState compose='' kanjiKey='かみ'
07-30 07:32:19.576 D/SKK     (12649): FlickJP: cleanupState lastKey=-1004 shiftBefore=false
07-30 07:32:19.922 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKChooseState kanji=false choose=true compose='' kanjiKey='かみ'
07-30 07:32:19.949 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:19.950 D/SKK     (12649): SKKEngine: processKey: code=101 char='e' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:19.950 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:19.950 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:20.141 D/SKK     (12649): convertLastChar(str=神て, type=trans)
07-30 07:32:20.141 D/SKK     (12649): first=神 (last=て), kana=て
07-30 07:32:20.141 D/SKK     (12649): changeLastChar: 2chars=(神, で)
07-30 07:32:20.141 D/SKK     (12649): FlickJP: cleanupState lastKey=-1006 shiftBefore=false
07-30 07:32:20.387 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:20.387 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:20.387 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:20.387 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:20.387 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:20.620 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
